会う	あう
降る	ふる
古い	ふるい
文章	ぶんしょう
下手	へた
部屋	へや
辺	へん
勉強	べんきょう
便利	べんり
帽子	ぼうし
欲しい	ほしい
細い	ほそい
本	ほん
本棚	ほんだな
毎朝	まいあさ
毎月	まいげつ/まいつき
毎週	まいしゅう
毎日	まいにち
毎年	まいねん/まいとし
毎晩	まいばん
前	まえ
曲る	まがる
町	まち
待つ	まつ
窓	まど
丸い/円い	まるい
万	まん
万年筆	まんねんひつ
磨く	みがく
右	みぎ
短い	みじかい
水	みず
店	みせ
見せる	みせる
道	みち
三日	みっか
三つ	みっつ
緑	みどり
皆さん	みなさん
南	みなみ
耳	みみ
見る&nbsp;&nbsp;観る	みる
六日	むいか
向こう	むこう
難しい	むずかしい
六つ	むっつ
村	むら
目	め
眼鏡	めがね
もう一度	もういちど
木曜日	もくようび
持つ	もつ
物	もの
門	もん
問題	もんだい
八百屋	やおや
野菜	やさい
易しい	やさしい
安い	やすい
休み	やすみ
休む	やすむ
八つ	やっつ
山	やま
夕方	ゆうがた
夕飯	ゆうはん
郵便局	ゆうびんきょく
昨夜	ゆうべ
有名	ゆうめい
雪	ゆき
八日	ようか
洋服	ようふく
横	よこ
四日	よっか
四つ	よっつ
呼ぶ	よぶ
読む	よむ
夜	よる
弱い	よわい
来月	らいげつ
来週	らいしゅう
来年	らいねん
留学生	りゅうがくせい
両親	りょうしん
料理	りょうり
旅行	りょこう
零	れい
冷蔵庫	れいぞうこ
練習	れんしゅう
廊下	ろうか
六	ろく
若い	わかい
分かる	わかる
忘れる	わすれる
私	わたくし
渡す	わたす
渡る	わたる
悪い	わるい
